name,salary_from,salary_to,salary_currency,area_name,published_at
Junior Developer / младший программист / бэкенд разработчик,,,,Тула,2022-12-17T17:18:51+0300
Стажер frontend-разработчик,,,,Москва,2022-12-17T16:22:42+0300
Frontend-разработчик (Junior),,,,Санкт-Петербург,2022-12-17T11:40:54+0300
Стажер-разработчик,,,,Екатеринбург,2022-12-17T21:10:06+0300
Стажёр 2D-художник персонажей,15000,30000,RUR,Санкт-Петербург,2022-12-17T02:19:59+0300
"Удаленный помощник менеджера сайтов, подработка",6000,15000,RUR,Красноярск,2022-12-17T05:11:25+0300
Специалист личной поддержки Теле2,35000,45000,RUR,Иркутск,2022-12-17T07:35:52+0300
Junior иллюстратор/графический дизайнер,30000,60000,RUR,Москва,2022-12-17T16:46:39+0300
Тестировщик ПО,50000,,RUR,Москва,2022-12-17T18:37:03+0300
Тестировщик игр,,,,Москва,2022-12-17T19:56:00+0300
Тестировщик ПО,12000,,RUR,Москва,2022-12-17T21:08:04+0300
Аналитик / системный аналитик (junior),,,,Москва,2022-12-17T18:49:46+0300
"Тестировщик/QA-инженер (web, mobile)",50000,70000,RUR,Москва,2022-12-17T20:42:51+0300
Специалист службы поддержки пользователей,40000,40000,RUR,Санкт-Петербург,2022-12-17T08:48:35+0300
"Web-дизайнер / Графический дизайнер (веб студия), Удаленно",50000,100000,RUR,Москва,2022-12-17T11:45:34+0300
Тестировщик ПО,50000,,RUR,Санкт-Петербург,2022-12-17T18:37:03+0300
Junior Tech Support & QA Engineer,1000,,USD,Санкт-Петербург,2022-12-17T19:35:15+0300
Frontend-программист React,,,,Нижний Новгород,2022-12-17T13:27:30+0300
Ведущий Java-разработчик (удалённо),,,,Москва,2022-12-17T07:19:17+0300
2D-художник,,,,Бишкек,2022-12-17T17:47:55+0300
Региональный директор,2000,,USD,Ташкент,2022-12-17T09:45:10+0300
Системный администратор,320000,,KZT,Астана,2022-12-17T15:14:29+0300
Frontend-разработчик,30000,50000,RUR,Чебоксары,2022-12-17T15:12:18+0300
Специалист технической поддержки / Help Desk удаленно,65000,,RUR,Москва,2022-12-17T11:59:16+0300
Frontend-разработчик / junior,,,,Москва,2022-12-17T10:25:03+0300
Выездной сервисный инженер,,,,Тверь,2022-12-17T12:37:16+0300
